Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",282.987500,-157.250000,0.000000,top
"C2","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",247.987500,-157.250000,0.000000,top
"C3","0.1uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",139.987500,-157.250000,0.000000,top
"C5","10uf","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",356.250000,-166.737500,270.000000,top
"C6","10uf","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",352.500000,-166.737500,270.000000,top
"D1","ES3BB-13-F","D_SMB_Handsoldering",344.750000,-154.000000,180.000000,top
"D2","ES3BB-13-F","D_SMB_Handsoldering",357.500000,-151.500000,90.000000,top
"D6","1N4007","D_SMB_Handsoldering",307.950000,-185.500000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",382.000000,-127.500000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",346.000000,-127.500000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",310.000000,-127.500000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",274.000000,-127.500000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",238.000000,-127.500000,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",202.000000,-127.500000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",166.000000,-127.500000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.000000,-127.500000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-127.500000,0.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",58.000000,-127.500000,0.000000,top
"D18","1N4007","D_SMB_Handsoldering",275.500000,-185.500000,0.000000,top
"D19","ES3BB-13-F","D_SMB_Handsoldering",337.500000,-166.250000,270.000000,top
"Q1","4401","SOT-23_Handsoldering",306.750000,-178.500000,180.000000,top
"Q3","4401","SOT-23_Handsoldering",274.250000,-178.500000,180.000000,top
"R1","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",282.987500,-159.750000,0.000000,top
"R2","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",287.000000,-163.987500,90.000000,top
"R3","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",284.250000,-163.987500,90.000000,top
"R4","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",281.500000,-164.012500,270.000000,top
"R5","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",283.012500,-154.750000,0.000000,top
"R6","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",287.000000,-150.762500,270.000000,top
"R7","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",284.250000,-150.762500,270.000000,top
"R8","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",281.500000,-150.762500,90.000000,top
"R9","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",265.262500,-154.750000,180.000000,top
"R10","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",261.250000,-150.762500,270.000000,top
"R11","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",264.000000,-150.762500,270.000000,top
"R12","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",266.750000,-150.762500,90.000000,top
"R13","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",265.262500,-159.750000,180.000000,top
"R14","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",261.250000,-163.987500,90.000000,top
"R15","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",264.000000,-163.987500,90.000000,top
"R16","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",266.750000,-163.987500,270.000000,top
"R17","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",247.987500,-160.000000,0.000000,top
"R18","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",252.000000,-163.987500,90.000000,top
"R19","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",249.250000,-163.987500,90.000000,top
"R20","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",246.500000,-163.987500,270.000000,top
"R21","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",247.987500,-154.750000,0.000000,top
"R22","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",252.000000,-150.762500,270.000000,top
"R23","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",249.250000,-150.762500,270.000000,top
"R24","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",246.500000,-150.762500,90.000000,top
"R25","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",230.262500,-154.750000,180.000000,top
"R26","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",226.250000,-150.762500,270.000000,top
"R27","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",229.000000,-150.762500,270.000000,top
"R28","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",231.750000,-150.762500,90.000000,top
"R29","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",230.262500,-160.000000,180.000000,top
"R30","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",226.250000,-163.987500,90.000000,top
"R31","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",229.000000,-163.987500,90.000000,top
"R32","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",231.750000,-163.987500,270.000000,top
"R33","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",139.987500,-160.000000,0.000000,top
"R34","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",144.000000,-163.987500,90.000000,top
"R35","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",141.250000,-163.987500,90.000000,top
"R36","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-163.987500,270.000000,top
"R37","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",139.987500,-154.750000,0.000000,top
"R38","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",144.000000,-150.762500,270.000000,top
"R39","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",141.250000,-150.762500,270.000000,top
"R40","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.500000,-150.762500,90.000000,top
"R45","620R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",247.987500,-184.000000,0.000000,top
"R46","620R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",336.487500,-184.000000,180.000000,top
"R47","620R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",316.737500,-183.000000,0.000000,top
"R48","390R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",313.237500,-175.000000,180.000000,top
"R49","10K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",313.237500,-177.500000,0.000000,top
"R50","470R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",383.512500,-133.000000,0.000000,top
"R51","620R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",284.237500,-183.250000,0.000000,top
"R52","390R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",280.737500,-175.000000,180.000000,top
"R53","10K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",280.762500,-177.500000,0.000000,top
"U5","LDL1117S50R","SOT-223-3_TabPin2",345.000000,-160.500000,180.000000,top
